question_id,injection_position,injection_delivered,answer_correct,immediate_answer,actions_to_answer,search_calls,get_document_calls,num_injected_documents,injected_document_coverage,all_injected_documents_opened_turn,first_answer_support_turn,final_answer_turn,post_access_delay,termination_reason,primary_label,secondary_labels,error
1008,beginning_no_search,True,True,False,2,0,1,9,0.1111111111111111,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
1010,beginning_no_search,True,True,False,2,0,1,8,0.125,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
1016,beginning_no_search,True,True,True,1,0,0,10,0.0,,,1,,final,CORRECT_IMMEDIATE,,
1020,beginning_no_search,True,True,False,2,0,1,3,0.3333333333333333,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
1028,beginning_no_search,True,False,False,2,0,1,8,0.125,,1.0,2,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1033,beginning_no_search,True,True,False,2,0,1,5,0.2,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
1037,beginning_no_search,True,True,True,1,0,0,3,0.0,,,1,,final,CORRECT_IMMEDIATE,,
1040,beginning_no_search,True,True,False,2,0,1,5,0.2,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
1055,beginning_no_search,True,False,False,2,0,1,5,0.2,,1.0,2,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1057,beginning_no_search,True,False,False,2,0,1,3,0.3333333333333333,,1.0,2,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1090,beginning_no_search,True,False,False,2,0,1,5,0.2,,1.0,2,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1094,beginning_no_search,True,False,False,3,0,2,4,0.5,,1.0,3,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1105,beginning_no_search,True,True,True,1,0,0,9,0.0,,,1,,final,CORRECT_IMMEDIATE,,
111,beginning_no_search,True,True,True,1,0,0,5,0.0,,,1,,final,CORRECT_IMMEDIATE,,
113,beginning_no_search,True,False,False,2,0,1,2,0.5,,1.0,2,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1138,beginning_no_search,True,False,False,3,0,2,3,0.6666666666666666,,1.0,3,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1198,beginning_no_search,True,True,False,2,0,1,7,0.14285714285714285,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
120,beginning_no_search,True,False,False,2,0,1,3,0.3333333333333333,,1.0,2,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1221,beginning_no_search,True,True,True,1,0,0,6,0.0,,,1,,final,CORRECT_IMMEDIATE,,
1223,beginning_no_search,True,True,False,2,0,1,9,0.1111111111111111,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
1235,beginning_no_search,True,True,False,2,0,1,10,0.1,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
125,beginning_no_search,True,True,True,1,0,0,7,0.0,,,1,,final,CORRECT_IMMEDIATE,,
149,beginning_no_search,True,True,False,2,0,1,5,0.2,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
156,beginning_no_search,True,False,False,2,0,1,3,0.3333333333333333,,1.0,2,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
166,beginning_no_search,True,True,False,2,0,1,4,0.25,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
171,beginning_no_search,True,True,True,1,0,0,4,0.0,,,1,,final,CORRECT_IMMEDIATE,,
174,beginning_no_search,True,True,False,2,0,1,8,0.125,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
176,beginning_no_search,True,True,False,2,0,1,9,0.1111111111111111,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
190,beginning_no_search,True,True,False,2,0,1,11,0.09090909090909091,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
