question_id,answer_correct,immediate_answer,actions_to_answer,search_calls,get_document_calls,num_injected_documents,injected_document_coverage,all_injected_documents_opened_turn,first_answer_support_turn,final_answer_turn,post_access_delay,termination_reason,primary_label,secondary_labels,error
1163,False,False,4,2,1,4,0.25,,3.0,4,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1253,False,True,1,0,0,8,0.0,,,1,,final,WRONG_WITHOUT_OPENING_EVIDENCE,,
370,True,False,6,3,2,4,0.5,,1.0,6,,final,CORRECT_AFTER_EXTRA_SEARCH,,
380,True,False,2,0,1,9,0.1111111111111111,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
389,False,False,3,1,1,10,0.1,,1.0,3,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
598,True,False,3,0,2,6,0.3333333333333333,,1.0,3,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
627,False,False,2,0,1,3,0.3333333333333333,,1.0,2,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
652,False,False,2,0,1,5,0.2,,1.0,2,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
674,True,True,1,0,0,4,0.0,,,1,,final,CORRECT_IMMEDIATE,,
694,True,True,1,0,0,5,0.0,,,1,,final,CORRECT_IMMEDIATE,,
832,True,False,4,1,2,6,0.3333333333333333,,2.0,4,,final,CORRECT_AFTER_EXTRA_SEARCH,,
864,True,False,4,0,3,6,0.16666666666666666,,1.0,4,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
963,True,False,2,0,1,5,0.2,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
971,True,True,1,0,0,7,0.0,,,1,,final,CORRECT_IMMEDIATE,,
996,False,False,3,0,2,7,0.2857142857142857,,1.0,3,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
