question_id,injection_position,injection_delivered,answer_correct,immediate_answer,actions_to_answer,search_calls,get_document_calls,num_injected_documents,injected_document_coverage,all_injected_documents_opened_turn,first_answer_support_turn,final_answer_turn,post_access_delay,termination_reason,primary_label,secondary_labels,error
1008,beginning,True,True,False,2,0,1,9,0.1111111111111111,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
1008,mid_trajectory,True,True,False,2,0,1,9,0.1111111111111111,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
1010,beginning,True,True,False,4,1,2,8,0.25,,1.0,4,,final,CORRECT_AFTER_EXTRA_SEARCH,,
1010,mid_trajectory,True,True,True,1,0,0,8,0.0,,,1,,final,CORRECT_IMMEDIATE,,
1016,beginning,True,True,True,1,0,0,10,0.0,,,1,,final,CORRECT_IMMEDIATE,,
1016,mid_trajectory,True,True,True,1,0,0,10,0.0,,,1,,final,CORRECT_IMMEDIATE,,
1020,beginning,True,True,False,4,2,1,3,0.3333333333333333,,3.0,4,,final,CORRECT_AFTER_EXTRA_SEARCH,,
1020,mid_trajectory,True,True,False,2,0,1,3,0.3333333333333333,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
1028,beginning,True,False,False,9,6,2,8,0.25,,4.0,9,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1028,mid_trajectory,True,False,False,7,4,2,8,0.125,,1.0,7,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1033,beginning,True,True,False,2,0,1,5,0.2,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
1033,mid_trajectory,True,True,False,2,0,1,5,0.2,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
1037,beginning,True,True,True,1,0,0,3,0.0,,,1,,final,CORRECT_IMMEDIATE,,
1037,mid_trajectory,True,False,True,1,0,0,3,0.0,,,1,,final,WRONG_WITHOUT_OPENING_EVIDENCE,,
1040,beginning,True,True,False,2,0,1,5,0.2,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
1040,mid_trajectory,True,True,False,2,0,1,5,0.2,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
1055,beginning,True,True,False,7,4,2,5,0.4,,3.0,7,,final,CORRECT_AFTER_EXTRA_SEARCH,,
1055,mid_trajectory,True,False,False,7,4,2,5,0.2,,1.0,7,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1057,beginning,True,False,False,9,6,2,3,0.3333333333333333,,1.0,9,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1057,mid_trajectory,True,False,False,7,4,2,3,0.3333333333333333,,1.0,7,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1090,beginning,True,False,False,3,1,1,5,0.2,,1.0,3,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1090,mid_trajectory,True,False,False,4,1,2,5,0.4,,1.0,4,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1094,beginning,True,False,False,9,5,3,4,0.5,,1.0,9,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1094,mid_trajectory,True,False,False,5,2,2,4,0.5,,1.0,5,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1105,beginning,True,True,True,1,0,0,9,0.0,,,1,,final,CORRECT_IMMEDIATE,,
1105,mid_trajectory,True,True,False,2,0,1,9,0.1111111111111111,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
111,beginning,True,True,False,3,1,1,5,0.2,,2.0,3,,final,CORRECT_AFTER_EXTRA_SEARCH,,
111,mid_trajectory,True,True,True,1,0,0,5,0.0,,,1,,final,CORRECT_IMMEDIATE,,
113,beginning,True,True,False,5,2,2,2,1.0,4.0,1.0,5,1.0,final,CORRECT_AFTER_EXTRA_SEARCH,,
113,mid_trajectory,True,True,False,5,2,2,2,1.0,4.0,1.0,5,1.0,final,CORRECT_AFTER_EXTRA_SEARCH,,
1138,beginning,True,False,False,5,1,3,3,1.0,4.0,1.0,5,1.0,final,WRONG_AFTER_FULL_EVIDENCE,,
1138,mid_trajectory,True,False,False,2,0,1,3,0.3333333333333333,,1.0,2,,final,WRONG_AFTER_PARTIAL_EVIDENCE,,
1198,beginning,True,True,False,2,0,1,7,0.14285714285714285,,1.0,2,,final,CORRECT_AFTER_DOCUMENT_ACCESS,,
1198,mid_trajectory,True,True,False,2,1,0,7,0.0,,,2,,final,CORRECT_AFTER_EXTRA_SEARCH,SEARCHED_WITHOUT_OPENING_INJECTED_DOCS,
