question_id,condition,placement_seed,answer_correct,total_evidence_documents,naturally_present,missing,injected,all_evidence_present,mean_normalized_evidence_position,first_evidence_turn,last_evidence_turn,original_search_turns,termination_reason,error
1008,original_replay,,False,9,7,2,0,False,0.5,0.0,3.0,4,final,
1008,distributed_evidence_replay,43.0,True,9,7,2,2,True,0.5,0.0,3.0,4,final,
1010,original_replay,,False,8,0,8,0,False,,,,8,final,
1010,distributed_evidence_replay,43.0,True,8,0,8,8,True,0.5892857142857143,0.0,9.0,8,final,
1016,original_replay,,True,10,4,6,0,False,0.5,0.0,1.0,2,final,
1016,distributed_evidence_replay,43.0,True,10,4,6,6,True,0.5,0.0,1.0,2,final,
1020,original_replay,,False,3,0,3,0,False,,,,7,final,
1020,distributed_evidence_replay,43.0,False,3,0,3,3,True,0.6666666666666666,0.0,7.0,7,final,
1028,original_replay,,False,8,0,8,0,False,,,,6,final,
1028,distributed_evidence_replay,43.0,False,8,0,8,8,True,0.6666666666666666,0.0,7.0,6,final,
1033,original_replay,,False,5,0,5,0,False,,,,7,final,
1033,distributed_evidence_replay,43.0,False,5,0,5,5,True,0.6333333333333334,0.0,7.0,7,final,
1037,original_replay,,False,3,0,3,0,False,,,,7,final,
1037,distributed_evidence_replay,43.0,True,3,0,3,3,True,0.6111111111111112,0.0,7.0,7,final,
1040,original_replay,,False,5,0,5,0,False,,,,7,final,
1040,distributed_evidence_replay,43.0,True,5,0,5,5,True,0.6,0.0,7.0,7,final,
1055,original_replay,,False,5,0,5,0,False,,,,9,final,
1055,distributed_evidence_replay,43.0,False,5,0,5,5,True,0.25,0.0,4.0,9,final,
1057,original_replay,,False,3,0,3,0,False,,,,7,final,
1057,distributed_evidence_replay,43.0,False,3,0,3,3,True,0.7222222222222222,0.0,8.0,7,final,
1090,original_replay,,False,5,0,5,0,False,,,,6,final,
1090,distributed_evidence_replay,43.0,False,5,0,5,5,True,0.6799999999999999,0.0,7.0,6,final,
1094,original_replay,,False,4,0,4,0,False,,,,4,final,
1094,distributed_evidence_replay,43.0,False,4,0,4,4,True,0.75,0.0,4.0,4,final,
1105,original_replay,,False,9,1,8,0,False,1.0,2.0,2.0,3,final,
1105,distributed_evidence_replay,43.0,True,9,1,8,8,True,0.5,0.0,2.0,3,final,
111,original_replay,,False,5,1,4,0,False,1.1666666666666667,7.0,7.0,7,final,
111,distributed_evidence_replay,43.0,True,5,1,4,4,True,0.75,1.0,7.0,7,final,
113,original_replay,,False,2,0,2,0,False,,,,6,final,
113,distributed_evidence_replay,43.0,False,2,0,2,2,True,0.8,0.0,8.0,6,final,
1138,original_replay,,False,3,3,0,0,True,0.5,0.0,2.0,3,final,
1138,distributed_evidence_replay,43.0,False,3,3,0,0,True,0.5,0.0,2.0,3,final,
1198,original_replay,,False,7,1,6,0,False,1.25,5.0,5.0,5,final,
1198,distributed_evidence_replay,43.0,True,7,1,6,6,True,0.55,0.0,5.0,5,final,
120,original_replay,,False,3,1,2,0,False,0.7999999999999999,0.0,8.0,6,final,
120,distributed_evidence_replay,43.0,False,3,1,2,2,True,0.7999999999999999,0.0,8.0,6,final,
1221,original_replay,,False,6,0,6,0,False,,,,4,final,
1221,distributed_evidence_replay,43.0,True,6,0,6,6,True,0.5,0.0,3.0,4,final,
1223,original_replay,,False,9,0,9,0,False,,,,3,final,
1223,distributed_evidence_replay,43.0,False,9,0,9,9,True,0.5,0.0,2.0,3,final,
1235,original_replay,,False,10,0,10,0,False,,,,3,final,
1235,distributed_evidence_replay,43.0,True,10,0,10,10,True,0.5,0.0,2.0,3,final,
125,original_replay,,False,7,0,7,0,False,,,,5,final,
125,distributed_evidence_replay,43.0,True,7,0,7,7,True,0.65,0.0,5.0,5,final,
149,original_replay,,False,5,0,5,0,False,,,,9,final,
149,distributed_evidence_replay,43.0,True,5,0,5,5,True,0.25,0.0,4.0,9,final,
156,original_replay,,False,3,0,3,0,False,,,,7,final,
156,distributed_evidence_replay,43.0,False,3,0,3,3,True,0.7222222222222222,0.0,8.0,7,final,
166,original_replay,,False,4,0,4,0,False,,,,9,final,
166,distributed_evidence_replay,43.0,False,4,0,4,4,True,0.3125,1.0,4.0,9,final,
171,original_replay,,False,4,1,3,0,False,1.0,1.0,1.0,2,final,
171,distributed_evidence_replay,43.0,False,4,1,3,3,True,0.5,0.0,1.0,2,final,
174,original_replay,,False,8,0,8,0,False,,,,5,final,
174,distributed_evidence_replay,43.0,True,8,0,8,8,True,0.55,0.0,5.0,5,final,
176,original_replay,,False,9,0,9,0,False,,,,4,final,
176,distributed_evidence_replay,43.0,False,9,0,9,9,True,0.5833333333333333,0.0,4.0,4,final,
190,original_replay,,False,11,2,9,0,False,0.7999999999999999,1.0,6.0,6,final,
190,distributed_evidence_replay,43.0,True,11,2,9,9,True,0.5666666666666667,0.0,6.0,6,final,
219,original_replay,,False,8,0,8,0,False,,,,7,final,
219,distributed_evidence_replay,43.0,False,8,0,8,8,True,0.5476190476190477,0.0,7.0,7,final,
226,original_replay,,False,7,1,6,0,False,1.3333333333333333,4.0,4.0,4,final,
226,distributed_evidence_replay,43.0,False,7,1,6,6,True,0.75,0.0,4.0,4,final,
233,original_replay,,False,5,1,4,0,False,0.95,2.0,7.0,6,final,
233,distributed_evidence_replay,43.0,False,5,1,4,4,True,0.6666666666666666,0.0,7.0,6,final,
250,original_replay,,False,5,0,5,0,False,,,,4,final,
250,distributed_evidence_replay,43.0,True,5,0,5,5,True,0.5,0.0,3.0,4,final,
251,original_replay,,False,5,0,5,0,False,,,,8,final,
251,distributed_evidence_replay,43.0,False,5,0,5,5,True,0.45714285714285713,0.0,7.0,8,final,
257,original_replay,,False,5,0,5,0,False,,,,6,final,
257,distributed_evidence_replay,43.0,True,5,0,5,5,True,0.5599999999999999,0.0,6.0,6,final,
262,original_replay,,False,3,3,0,0,True,0.7333333333333333,0.0,7.0,6,final,
262,distributed_evidence_replay,43.0,False,3,3,0,0,True,0.7333333333333333,0.0,7.0,6,final,
264,original_replay,,False,6,0,6,0,False,,,,7,final,
264,distributed_evidence_replay,43.0,False,6,0,6,6,True,0.47222222222222227,0.0,7.0,7,final,
293,original_replay,,False,4,0,4,0,False,,,,4,final,
